Код товара;Артикул;Наименование;Цена1;Цена2;Цена3;Цена4;Цена5;Новинка;Спецпредложение;Склад;Вес;Сортировка
280;ps_280;"Адаптер АПМ-350 с кузовом для мотоблоков";19900;0;0;0;0;0;0;96;100;1
281;ps_281;"Адаптер АПМ-350 без кузова для мотоблоков";17600;0;0;0;0;0;0;99;85;1
282;ps_282;"Насос водяной (помпа) НМЦ для мотоблоков МКМ-3 Lander";5600;0;0;0;0;0;0;99;6;0
284;ps_284;"Шина 4,0х8 с камерой и диском для мотоблоков и мотокультиваторов";2150;0;0;0;0;0;0;93;4;10
2210;60010111105;"Измельчитель Viking GB 370.2 без воронки";80600;0;0;0;0;1;0;99;0;0
285;ps_285;"Мотошина 4,0х8 (елочка) для мотоблоков";1150;0;0;0;0;0;0;95;2;4
286;ps_286;"Мотошина 4,5х10 (елочка) для мотоблоков";1540;0;0;0;0;0;0;95;4;3
287;ps_287;"Колесо резиновое 5.0х10 в сборе для мотоблоков";4920;0;0;0;0;0;0;99;9;0
288;ps_288;"Диск колеса 4,0х8 для мотоблоков и мотокультиваторов - 4 отверстия под ступицу";700;0;0;0;0;0;0;96;1;0
289;ps_289;"Диск колеса 4,0х10 для мотоблоков и мотокультиваторов - 4 отверстия под ступицу";670;0;0;0;0;0;0;97;2;0
290;ps_290;"Камера колеса 4,0х8";300;0;0;0;0;0;0;86;0.5;0
291;ps_291;"Камера колеса 4,0х10, 4,5x10";300;0;0;0;0;0;0;70;0.5;0
927;9667290-32;"Аккумуляторная цепная пила Husqvarna 436 Li- 12 (в к-те с акк-ром Bli 110)";34490;0;0;0;0;0;0;99;0;1
294;ps_294;"Косилка КМ-0,5 Терминатор для мотоблоков типа МБ";12300;0;0;0;0;0;0;99;27;1
295;ps_295;"Насос водяной (помпа) НМЦ для мотоблоков типа МБ";5600;0;0;0;0;0;0;98;6;0
296;ps_296;"Насос водяной (помпа) НМЦ для мотоблоков Салют";5600;0;0;0;0;0;0;99;6;0
310;ps_310;"Полольники для мотокультиватора Тарпан";1680;0;0;0;0;0;0;98;5;0
311;ps_311;"СМ-0,6 Мегалодон - Снегоуборщик для мотоблоков Фаворит";15150;0;0;0;0;0;0;99;46;0
312;out312;"Лопата (отвал) для мотоблоков Салют, Фаворит";4800;0;0;0;0;0;0;98;18;0
313;ps_313;"Лопата (отвал) для мотоблоков НМБ-1 Угра";4960;0;0;0;0;0;0;96;18;0
314;ps_314;"Щетка ЩМ-0,9 Торнадо для мотоблоков Салют";23700;0;0;0;0;0;0;100;45;1
341;ps_341;"Ремень привода переднего хода мотоблоков Ока МБ-1, Каскад, Луч";200;0;0;0;0;0;0;89;0.5;0
315;ps_315;"Щетка ЩМ-0,9 Торнадо для мотоблоков НМБ-1 Угра";24990;0;0;0;0;0;0;99;45;0
316;ps_316;"Щетка ЩМ-0,9 Торнадо для мотоблоков Фаворит";23700;0;0;0;0;0;0;99;45;0
319;ps_319;"Косилка КМ-0,5 Терминатор для мотоблоков МКМ-3 Lander";12300;0;0;0;0;0;0;99;27;1
320;ps_320;"Косилка КМ-0,5 Терминатор для мотоблоков Фаворит";12300;0;0;0;0;0;0;99;27;0
321;ps_321;"Комплект культиваторов для мотоблоков МКМ-3 Lander, Салют";2720;0;0;0;0;0;0;99;5;1
322;ps_322;"Щетка ЩМ-0,9 Торнадо для мотоблоков Нева МБ-2, Ока МБ-1, Каскад, Луч";23700;0;0;0;0;0;0;99;45;1
324;ps_324;"Грунтозацепы 600 мм для мотоблоков типа МБ";2880;0;0;0;0;0;0;95;18;10
325;ps_325;"Грунтозацепы 500x200 мм для мотоблоков типа МБ";3120;0;0;0;0;0;0;95;18;9
327;ps_327;"Грунтозацепы 460x160 мм для мотоблоков типа МБ";2720;0;0;0;0;0;0;96;15;7
326;ps_326;"Грунтозацепы 425x200 мм для мотоблоков типа МБ";2720;0;0;0;0;0;0;98;18;8
328;ps_328;"Грунтозацепы 425 мм для мотоблоков типа МБ";2160;0;0;0;0;0;0;98;15;6
329;ps_329;"Грунтозацепы 500 мм для мотоблоков типа МБ";2480;0;0;0;0;0;0;98;15;5
330;ps_330;"Грунтозацепы Крот/МК-3";1600;0;0;0;0;0;0;98;8;2
331;ps_331;"Удлинители грунтозацепов для мотокультиваторов МКМ-2";850;0;0;0;0;0;0;99;2;-1
332;ps_332;"Удлинители грунтозацепов для мотокультиваторов Крот";850;0;0;0;0;0;0;97;2;-1
333;ps_333;"Нож культиватора - 1 шт. (левый;правый) для мотоблоков типа МБ";100;0;0;0;0;0;0;90;0.5;0
334;ps_334;"Шплинт (стопор) фрезы, колеса для мотоблоков SPLR 1042";100;0;0;0;0;0;0;38;0.1;-1
335;ps_335;"Рама с двумя замками СВ-2 для мотоблоков";1280;0;0;0;0;0;0;98;6;0
336;ps_336;"Шкворень для мотоблока";110;0;0;0;0;0;0;94;0;0
337;CRAFTSMAN 88172;"Бензиновый снегоуборщик Craftsman 88172";67810;0;0;0;0;0;0;99;0;4
338;ps_338;"Колесо резиновое 4,5х10 в сборе для мотоблоков и мотокультиваторов";2100;0;0;0;0;0;0;99;4;5
2212;60010111105к2;"Измельчитель Viking GB 370.2 с наклонной воронкой";99790;0;0;0;0;1;0;99;0;0
340;ps_340;"Ремень привода мотоблоков Нева МБ-2";200;0;0;0;0;0;0;89;0.5;0
342;ps_342;"Ремень привода заднего хода мотоблоков Ока МБ-1, Каскад, Луч";200;0;0;0;0;0;0;90;0.5;0
343;ps_343;"Ремень привода мотоблоков Салют";200;0;0;0;0;0;0;78;0.5;0
344;ps_344;"Ремень привода мотоблоков МКМ-3 Lander (Пахарь), Hitachi S169";200;0;0;0;0;0;0;93;0.5;0
345;ps_345;"Ремень привода мотокультиваторов МКМ-2 Lander";200;0;0;0;0;0;0;99;0.5;0
346;ps_346;"Ремень привода косилки КМ-0,5 Терминатор для мотоблоков Нева МБ-2, Ока МБ-1, Каскад, Луч";200;0;0;0;0;0;0;99;0.5;0
347;ps_347;"Ремень привода косилки КМ-0,5 Терминатор для мотоблоков Салют";200;0;0;0;0;0;0;99;0.5;0
348;ps_348;"Ремень привода косилки КМ-0,5 Терминатор для мотоблоков МКМ-3 Lander (Пахарь), Hitachi S169";200;0;0;0;0;0;0;99;0.5;0
349;ps_349;"Ремень привода косилки Заря для мотоблоков Нева МБ-2, Ока МБ-1, Каскад, Луч";200;0;0;0;0;0;0;94;0.5;0
350;ps_350;"Ремень привода косилки Заря для мотоблоков Салют";200;0;0;0;0;0;0;91;0.5;0
351;ps_351;"Ремень привода косилки Заря для мотоблоков МКМ-3 Lander (Пахарь), Hitachi S169";200;0;0;0;0;0;0;98;0.5;0
352;ps_352;"Ремень привода насоса НМЦ для мотоблоков Нева МБ-2, Ока МБ-1, Каскад, Луч";200;0;0;0;0;0;0;99;0.5;0
353;ps_353;"Ремень привода насоса НМЦ для мотоблоков Салют";200;0;0;0;0;0;0;99;0.5;0
354;ps_354;"Ремень привода насоса НМЦ для мотоблоков МКМ-3 Lander (Пахарь), Hitachi S169";200;0;0;0;0;0;0;99;0.5;0
355;ps_355;"Ремень привода снегоуборщика СМ-0,6 Мегалодон для мотоблоков Нева МБ-2";200;0;0;0;0;0;0;96;0.5;0
356;ps_356;"Ремень привода снегоуборщика СМ-0,6 Мегалодон для мотоблоков Ока МБ-1, Каскад, Луч";200;0;0;0;0;0;0;99;0.5;0
357;ps_357;"Ремень привода снегоуборщика СМ-0,6 Мегалодон для мотоблоков Салют";200;0;0;0;0;0;0;97;0.5;0
358;ps_358;"Ремень привода снегоуборщика СМ-0,6 Мегалодон для мотоблоков МКМ-3 Lander (Пахарь), Hitachi S169";200;0;0;0;0;0;0;99;0.5;0
359;ps_359;"Ремень привода щетки ЩМ-0,9 Торнадо для мотоблоков Нева МБ-2, Ока МБ-1, Каскад, Луч";200;0;0;0;0;0;0;99;0.5;0
360;ps_360;"Ремень привода щетки ЩМ-0,9 Торнадо для мотоблоков Салют";200;0;0;0;0;0;0;99;0.5;0
361;ps_361;"Ремень привода щетки ЩМ-0,9 Торнадо для мотоблоков МКМ-3 Lander (Пахарь), Hitachi S169";200;0;0;0;0;0;0;99;0.5;0
363;ps_363;"Бензиновый снегоуборщик Tsunami STA 6555 MW";24000;0;0;0;0;0;0;99;0;99
364;31B-32AD678;"Бензиновый снегоуборщик MTD SMART M 56";54900;0;0;0;0;0;0;99;56;3
8803;2000507;"Цепная пила GreenWorks DigiPRO 80V (без АКБ и зарядного устройства)";23490;0;0;0;0;1;0;99;0;0
8800;2000007va;"Цепная пила GreenWorks G24CS25 (в комплекте с АКБ 2А*ч и зарядным устройством)";13880;0;0;0;0;1;0;99;0;0
2350;ps_2350;"Сцепка СВ-1/1 Vario для мотоблоков Caiman и Pubert Vario";1120;0;0;0;0;0;0;98;3;0
365;ps_365;"Бензиновый cнегоуборщик Мобил К С65 Б6,5";57490;0;0;0;0;1;0;97;100;2
366;ps_366;"Мотошина 4,0х10 (шоссейная) для тележек серии ТПМ-350, адаптера АПМ-350";1510;0;0;0;0;0;0;88;6;3
392;ps_392;"Мотоблок НМБ-1Н5 Угра с двигателем Briggs&Stratton Intek I/C";42350;0;0;0;0;0;0;99;0;0
367;ps_367;"Шина 5,00х6 с камерой и диском для мотоблоков и мотокультиваторов";1600;0;0;0;0;0;0;99;5;9
2211;60010111105к;"Измельчитель Viking GB 370.2 с прямой воронкой";98690;0;0;0;0;1;0;99;0;0
1584;ps_1584;"Комплект утяжелителей грунтозацепов 20кг";2800;0;0;0;0;1;0;98;20;0
368;ps_368;"Шина 6,5х8 с камерой и диском для мотоблоков и мотокультиваторов";3690;0;0;0;0;0;0;99;6.5;10
